City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,san carlos,9.6612,-68.5827,29.4,61,97,2.08,VE,1682285640
112,ribeira grande,38.5167,-28.7,17.1,94,100,3.13,PT,1682285641
113,punta arenas,-53.15,-70.9167,9.06,61,0,2.06,CL,1682285434
114,thompson,55.7435,-97.8558,2.09,48,20,4.12,CA,1682285644
115,antsiranana,-12.2787,49.2917,24.38,93,17,3.43,MG,1682285645
116,wailua homesteads,22.0669,-159.378,26.24,79,100,2.06,US,1682285384
117,kapuskasing,49.4169,-82.4331,1.05,80,100,2.57,CA,1682285400
118,kajansi,0.2081,32.5222,19.38,97,100,3.74,UG,1682285647
119,amherst,41.3978,-82.2224,7.49,74,100,4.12,US,1682285648
120,belyy yar,53.6039,91.3903,-5.06,63,36,2.0,RU,1682285649
121,jinchang,38.4953,102.1739,6.92,67,100,1.71,CN,1682285650
122,invercargill,-46.4,168.35,11.68,82,83,0.89,NZ,1682285491
123,motygino,58.1831,94.7592,-4.18,97,100,1.35,RU,1682285425
124,yanam,16.7333,82.2167,26.38,85,5,1.13,IN,1682285652
125,kolonia town,6.964,158.206,26.0,94,100,2.06,FM,1682285653
126,nanjing,32.0617,118.7778,10.95,84,100,5.09,CN,1682285654
127,rouissat,31.9243,5.3502,24.28,25,81,4.12,DZ,1682285654
128,ristiina,61.5058,27.2464,8.06,80,100,2.33,FI,1682285655
129,yigo village,13.5361,144.8886,26.62,87,40,7.72,GU,1682285656
130,kisangani,0.5167,25.2,20.09,99,100,0.95,CD,1682285657
131,constantia,44.1833,28.65,8.38,77,10,3.43,RO,1682285658
132,barakani,-12.1356,44.4317,26.91,81,85,2.36,KM,1682285658
133,okha,53.5739,142.9478,-1.32,79,35,9.38,RU,1682285659
134,lebu,-37.6167,-73.65,13.78,77,0,5.99,CL,1682285371
135,talnakh,69.4865,88.3972,-0.44,91,95,3.48,RU,1682285662
136,sosnogorsk,63.6023,53.8817,-6.1,92,24,2.19,RU,1682285392
137,nuuk,64.1835,-51.7216,3.34,81,75,1.03,GL,1682285664
138,pyt-yakh,60.7499,72.8582,2.82,99,100,3.21,RU,1682285665
139,jiuquan,39.7432,98.5174,10.27,44,100,6.9,CN,1682285665
140,novyy urgal,51.0736,132.5642,1.02,64,86,3.62,RU,1682285666
141,kirakira,-10.4544,161.9205,28.93,75,28,3.03,SB,1682285667
142,saipan,15.1355,145.701,27.58,100,20,7.2,MP,1682285668
143,asaita,11.5636,41.4394,29.94,56,90,4.26,ET,1682285669
144,eraan,9.0629,117.7016,25.75,88,51,1.69,PH,1682285670
145,arkhangel'sk,64.5401,40.5433,-4.94,79,0,0.0,RU,1682285670
146,cabo san lucas,22.8909,-109.9124,33.17,23,20,4.12,MX,1682285606
147,hefei,31.8639,117.2808,10.01,87,100,3.0,CN,1682285672
148,holualoa,19.6228,-155.9522,24.91,83,40,6.17,US,1682285673
149,brzeziny,51.8002,19.7514,14.54,62,83,2.61,PL,1682285673
150,oriximina,-1.7656,-55.8661,25.25,89,99,1.07,BR,1682285674
151,nuku'alofa,-21.1333,-175.2,27.19,74,75,5.66,TO,1682285458
152,saint-philippe,-21.3585,55.7679,24.77,74,100,2.81,RE,1682285676
153,vila franca do campo,37.7167,-25.4333,18.23,95,92,6.8,PT,1682285414
154,wenchang,30.904,118.4887,10.99,93,100,5.22,CN,1682285677
155,mahdia,35.5047,11.0622,18.97,66,55,5.85,TN,1682285679
156,tuban,-6.8976,112.0649,25.1,90,95,2.79,ID,1682285680
157,queenstown,-31.8976,26.8753,14.85,61,98,0.82,ZA,1682285388
158,zadawa,11.4496,10.3672,29.97,40,77,4.52,NG,1682285681
159,lazaro cardenas,17.9583,-102.2,28.87,58,3,3.92,MX,1682285683
160,sisteron,44.1876,5.9462,8.56,90,100,1.18,FR,1682285684
161,lerwick,60.1545,-1.1494,4.0,70,100,14.59,GB,1682285684
162,tiksi,71.6872,128.8694,-11.61,96,80,1.71,RU,1682285685
163,chernyshevskiy,63.0128,112.4714,-8.88,97,100,1.88,RU,1682285686
164,nishinoomote,30.7333,131.0,19.05,63,36,10.07,JP,1682285686
165,krasnozerskoye,53.9828,79.2374,9.5,45,100,8.82,RU,1682285687
166,laojunmiao,39.8333,97.7333,5.28,50,100,5.34,CN,1682285688
167,nizhneudinsk,54.9076,99.0276,-3.2,91,4,1.51,RU,1682285689
168,maffra,-37.9667,146.9833,11.82,87,0,0.46,AU,1682285689
169,chonchi,-42.6128,-73.8092,13.56,93,72,0.46,CL,1682285418
170,peterhead,57.5058,-1.7981,5.22,77,100,12.17,GB,1682285534
171,hithadhoo,-0.6,73.0833,28.39,76,97,2.38,MV,1682285692
172,birobidzhan,48.8,132.95,4.0,54,95,4.51,RU,1682285693
173,tazovsky,67.4667,78.7,0.04,97,100,7.07,RU,1682285693
174,bethel,41.3712,-73.414,16.68,73,75,4.63,US,1682285694
175,hermanus,-34.4187,19.2345,18.22,91,100,3.91,ZA,1682285695
176,prince rupert,54.3161,-130.3201,8.05,81,100,9.26,CA,1682285434
177,chibougamau,49.9168,-74.3659,5.79,93,100,4.12,CA,1682285696
178,nakhon nayok,14.1667,101.1,27.81,77,43,0.54,TH,1682285697
179,ushuaia,-54.8,-68.3,6.81,57,20,2.06,AR,1682285698
180,inuyama,35.38,136.9429,13.62,42,88,3.31,JP,1682285699
181,kormilovka,55.0026,74.1028,8.84,80,100,3.65,RU,1682285700
182,sarkand,45.41,79.9186,11.41,30,87,3.17,KZ,1682285700
